"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000137806",211.852607779389,0.261205231672334,0.152559126889998,1.71215735824626,0.086867673356861,0.239656959297876
"ENSG00000110104",180.983387633224,0.261073848264075,0.195918911170535,1.33256073497074,0.182675997833576,0.40374585611956
"ENSG00000134152",355.714781765838,0.261027494716593,0.125178760672177,2.0852378895185,0.0370477121685129,0.127782009529959
"ENSG00000113732",3479.40647119772,0.26101151987675,0.0967916617173159,2.69663228470077,0.00700445703568544,0.0345172340169087
"ENSG00000136404",92.6436498194264,0.260938237024306,0.221277853267256,1.17923340800468,0.238305246573255,0.476769134162758
"ENSG00000185291",55.4176060673182,0.26092188054838,0.27008457489622,0.966074721774241,0.3340067924259,0.58321007853431
"ENSG00000128626",238.676224499678,0.26091972865956,0.152078639020902,1.71568952970245,0.0862188821350228,0.238756219070358
"ENSG00000253200",28.5210253282694,0.260798854625043,0.383603970724654,0.67986484637366,0.496590042198573,0.725575931519861
"ENSG00000149150",573.941693880368,0.260716064598979,0.138223570780109,1.88619106804682,0.0592692117266629,0.182404213067898
"ENSG00000240401",6.0653785474323,0.260599297700461,0.756642300402853,0.344415449098884,0.730533872081754,0.879338545874119
"ENSG00000165887",13.5279960843419,0.260574461206782,0.594790389727143,0.438094605607732,0.661317704681646,0.840372152982343
"ENSG00000184216",2521.00546271284,0.260485095431387,0.113131589690215,2.30249655418672,0.0213071855236034,0.0834697304717829
"ENSG00000056972",502.338852164349,0.260429746040005,0.128295843097095,2.0299156991619,0.0423651090135684,0.141809475725388
"ENSG00000162843",1.3914886801969,0.26038634591824,1.69419137184551,0.153693585178985,0.877851342970379,NA
"ENSG00000135211",278.299248699353,0.2603075696736,0.15207608025901,1.7116930501513,0.0869532500561845,0.239819670390505
"ENSG00000188566",244.871024105702,0.260254646781264,0.147020338553238,1.77019485427876,0.0766946862555244,0.219439536107883
"ENSG00000202078",3.62432998497676,0.260172052731002,0.944021617558965,0.275599676841882,0.782855557898381,NA
"ENSG00000178935",49.8223168446371,0.26010993563882,0.280640616995022,0.926843514042848,0.354007788518465,0.601363018611866
"ENSG00000082641",10330.4124444793,0.259997516530774,0.085723133667469,3.0329912756029,0.00242142600549718,0.0141763486140017
"ENSG00000104714",305.617260958328,0.259974349980515,0.136548268476457,1.90390074426567,0.0569231121740715,0.176971992883251
"ENSG00000225972",1201.99113055303,0.259619392622865,0.143393745835135,1.81053497912914,0.0702128650179144,0.206067444987473
"ENSG00000063854",354.19140897712,0.259577996724405,0.120273037025969,2.15823931234361,0.0309092303766436,0.111270761060419
"ENSG00000112031",425.141037356215,0.259553082676402,0.115433576413649,2.24850594376726,0.0245439465138951,0.0934242089952534
"ENSG00000162889",2491.77042434295,0.259461313499043,0.080962803278922,3.20469774996776,0.0013520437813571,0.00863588234905973
"ENSG00000233406",20.6068975782917,0.259145961432172,0.465969634147367,0.556143453223853,0.578112791806666,0.785689618771315
"ENSG00000183086",144.282344900424,0.259114702499232,0.201642364171398,1.28502114902294,0.198784893671553,0.426204550312256
"ENSG00000164889",1512.03700843354,0.259111937115937,0.0893815677039548,2.89894151302151,0.00374424731496339,0.0204223434916575
"ENSG00000007255",128.956742128373,0.259016847532726,0.213429521414683,1.21359428543847,0.224902690314157,0.45943642367111
"ENSG00000115738",1423.08538756425,0.258893223829744,0.120979436565017,2.13997710008023,0.0323566174491656,0.115489811132889
"ENSG00000270170",117.808432969094,0.25887750290724,0.195817760619373,1.3220328027877,0.186157228049855,0.408280482994844
"ENSG00000166819",4.04566767961431,0.258567881403716,1.01418581313163,0.254951191444203,0.798760797266995,NA
"ENSG00000227540",9.5319945883322,0.258463919803997,0.615962122806308,0.419610086780079,0.674770318503479,0.847251893713849
"ENSG00000130489",57.5316900299455,0.258404649305998,0.266143483857354,0.970922321902483,0.331586961537735,0.580277182691035
"ENSG00000152503",1.35592529713858,0.258386155785423,1.67230739500458,0.154508768278643,0.877208598152203,NA
"ENSG00000101452",329.725027332167,0.258376597581252,0.129782349452134,1.99084543215597,0.0464978828594463,0.152306961620624
"ENSG00000251073",1.78108905786233,0.258237585371035,1.37631922769504,0.187629134414923,0.85116738588351,NA
"ENSG00000266926",1.57221064166287,0.258225674400514,1.71843192427871,0.150268201348099,0.880553019741652,NA
"ENSG00000165304",158.99454741692,0.258215120176159,0.167712475896677,1.53962976693063,0.123650625343033,0.3092466125084
"ENSG00000125037",1208.4419766358,0.258205837574738,0.102221151409895,2.52595313213958,0.0115384873243231,0.0515004958990579
"ENSG00000007171",1.48104432017406,0.258184075314997,1.76703120500838,0.146111780359744,0.883833146840432,NA
"ENSG00000074800",14058.4993362889,0.258151957527178,0.297222064576536,0.868549102823093,0.385093803716867,0.63115901369047
